Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.7820069204152249,0.8682890115403914,0.872008062484253,0.8701445631678191,3969.0
Decision Tree,1,0.7820069204152249,0.682258064516129,0.6537867078825348,0.6677190213101815,647.0
Decision Tree,2,0.7820069204152249,0.2644135188866799,0.2654690618762475,0.26494023904382463,501.0
Decision Tree,3,0.7820069204152249,0.5483870967741935,0.6,0.5730337078651684,85.0
Random Forest,0,0.8473663975394079,0.8749712180520378,0.9574200050390527,0.9143407122232917,3969.0
Random Forest,1,0.8473663975394079,0.7323162274618585,0.8160741885625966,0.7719298245614035,647.0
Random Forest,2,0.8473663975394079,0.524390243902439,0.08582834331337326,0.1475128644939966,501.0
Random Forest,3,0.8473663975394079,0.6607142857142857,0.43529411764705883,0.5248226950354609,85.0
SVM,0,0.8433294886582083,0.8612235717498875,0.9647266313932981,0.9100415923945335,3969.0
SVM,1,0.8433294886582083,0.7324929971988795,0.8083462132921174,0.7685525349008082,647.0
SVM,2,0.8433294886582083,1.0,0.0,0.0,501.0
SVM,3,0.8433294886582083,0.8333333333333334,0.4117647058823529,0.5511811023622047,85.0
XGBoost,0,0.8439061899269512,0.8800469483568075,0.9445704207608969,0.9111678211204278,3969.0
XGBoost,1,0.8439061899269512,0.7222982216142271,0.8160741885625966,0.7663280116110305,647.0
XGBoost,2,0.8439061899269512,0.4797297297297297,0.14171656686626746,0.21879815100154082,501.0
XGBoost,3,0.8439061899269512,0.6666666666666666,0.49411764705882355,0.5675675675675677,85.0
